,album,artist,author,bitrate,bpm,composer,copyright,date,discnumber,encodedby,genre,length,media,organization,performer,title,tracknumber
0,Contra,Vampire Weekend,,230570,,,,2010,,Exact Audio Copy   (Secure mode),Alternative,0,,,,I Think Ur A Contra,10/10
1,Classical Music for Sleep,Various Artists,,320000,,Gustav Holst,,2001,,,Classical,528.2411,,Relaxation,Various Artists,"The Planets Suite: Venus, Bringer of Peace",1
2,Classical Music for Sleep,Various Artists,,320000,,Gustav Holst,,2001,,,Classical,495.4073,,Relaxation,Various Artists,"The Planets Suite: Neptune, the Mystic",2
3,Classical Music for Sleep,Various Artists,,320000,,Samuel Barber,,2001,,,Classical,420.8135,,Relaxation,Various Artists,Adagio for Strings,3
4,Classical Music for Sleep,Various Artists,,320000,,Tomaso Albinoni,,2001,,,Classical,571.28,,Relaxation,Various Artists,Adagio in G Minor,4
5,Classical Music for Sleep,Various Artists,,320000,,Felix Mendelssohn,,2001,,,Classical,167.8001,,Relaxation,Various Artists,"Symphony No 4. In C Minor, Andante",5
6,Classical Music for Sleep,Various Artists,,320000,,Felix Mendelssohn,,2001,,,Classical,194.2133,,Relaxation,Various Artists,"Symphony No 5. In B-Flat Major, Andante",6
7,Classical Music for Sleep,Various Artists,,320000,,Felix Mendelssohn,,2001,,,Classical,480.9218,,Relaxation,Various Artists,"Violin Concerto in E Minor, Andante",7
8,Classical Music for Sleep,Various Artists,,320000,,Hubert Parry,,2001,,,Classical,173.3333,,Relaxation,Various Artists,"Lady Radnor' Suite, Slow Minuet",8
9,Classical Music for Sleep,Various Artists,,320000,,Edward Elgar,,2001,,,Classical,305.06,,Relaxation,Various Artists,"Sospiri, Op. 70",9
10,Classical Music for Sleep,Various Artists,,320000,,Frank Bridge,,2001,,,Classical,380.9327,,Relaxation,Various Artists,"Suite for String Orchestra, Nocturne",10
11,Classical Music for Sleep,Various Artists,,320000,,Fryderyk Chopin,,2001,,,Classical,223.2104,,Relaxation,Various Artists,"Marche Funbre, Lento [Excerpt]",11
12,Classical Music for Sleep,Various Artists,,320000,,Felix Mendelssohn,,2001,,,Classical,182.4944,,Relaxation,Various Artists,"Salm Sea and Prosperous Voyage, Op. 27",12
13,Street Product Radio 7,Diddy,,192000,,DJ Capcom & DJ Haze,,2010,,,Rap,351.09108333333336,,,Various Artists,I'm Coming Home (Feat. J. Cole),12
14,Contraband,Velvet Revolver,,160000,,Dave Kushner/Duff McKagan/Matt Sorum/Scott Weiland/Slash,,2004,,,genre,249364,,RCA,Velvet Revolver,Slither,1
15,Watsky,Watsky,,320000,,,,,,,,125.338675,,,,Headphones,1
16,Watsky,Watsky,,320000,,,,,,,,186.38685,,,,Amplified ft. Rafael 'AD' Casal,2
17,Watsky,Watsky,,320000,,,,,,,,308.0652,,,,Fuck an Emcee Name,3
18,Watsky,Watsky,,320000,,,,,,,,216.218675,,,,Seizure Boy,4
19,Watsky,Watsky,,320000,,,,,,,,163.973775,,,,G.O.A.T.(W.G.M.F.M.C.),5
20,Watsky,Watsky,,320000,,,,,,,,267.523175,,,,Waking Hour ft. Mariami,6
21,Watsky,Watsky,,320000,,,,,,,,309.03175,,,,The Girl Next Door (To Everybody Else),7
22,Watsky,Watsky,,320000,,,,,,,,249.7599,,,,Run My Mouth ft. Danny McClain,8
23,Watsky,Watsky,,320000,,,,,,,,223.663575,,,,Who's Been Loving You?,9
24,Watsky,Watsky,,320000,,,,,,,,288.91745,,,,I Got This Love ft. Passion,10
25,Watsky,Watsky,,320000,,,,,,,,284.555,,,,Fight! Fight! Fight! ft. Dahlak,11
26,Watsky,Watsky,,320000,,,,,,,,353.3354,,,,Color Lines ft. Catch Wreck,12
27,Watsky,Watsky,,320000,,,,,,,,319.193375,,,,Hercules,13
28,Watsky,Watsky,,320000,,,,,,,,194.746025,,,,Two Blue Moons,14
29,Watsky,Watsky,,320000,,,,,,,,228.026025,,,,Everything Turns Gold ft. Gift of Gab and Mieka Pauley,15
30,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,196.18275,,Geffen,Weezer,Beverly Hills,1
31,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,255.40235,,Geffen,Weezer,Perfect Situation,2
32,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,204.515825,,Geffen,Weezer,This Is Such A Pity,3
33,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,262.61215,,Geffen,Weezer,Hold Me,4
34,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,233.668475,,Geffen,Weezer,Peace,5
35,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,212.483175,,Geffen,Weezer,We Are All On Drugs,6
36,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,243.0203,,Geffen,Weezer,The Damage In Your Heart,7
37,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,256.0554,,Geffen,Weezer,Pardon Me,8
38,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,167.918275,,Geffen,Weezer,My Best Friend,9
39,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,197.018675,,Geffen,Weezer,The Other Way,10
40,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,206.553375,,Geffen,Weezer,Freak Me Out,11
41,Make Believe,Weezer,,320000,,Rivers Cuomo,,2005,1/1,,Alternative Pop,277.136225,,Geffen,Weezer,Haunt You Every Day,12
42,Maladroit,Weezer,,320000,,Rivers Cuomo,,2002,1/1,,Alternative Pop,162.092975,,Geffen,Weezer,American Gigolo,1
43,Maladroit,Weezer,,320000,,Rivers Cuomo,,2002,1/1,,Alternative Pop,137.485625,,Geffen,Weezer,Dope Nose,2
44,Maladroit,Weezer,,320000,,Rivers Cuomo,,2002,1/1,,Alternative Pop,172.359075,,Geffen,Weezer,Keep Fishin',3
